www.chinaoct.com              	121.40.143.81
mail.chinaoct.com             	172.16.12.14
web.chinaoct.com              	172.16.12.12
km.chinaoct.com               	172.16.12.170
m.chinaoct.com                	219.134.185.86
sd.chinaoct.com               	61.145.96.90
cc.chinaoct.com               	172.16.12.145
ftp.chinaoct.com              	42.156.141.13
in.chinaoct.com               	172.16.7.130
nc.chinaoct.com               	172.16.9.51
lb.chinaoct.com               	172.16.9.99
ssl.chinaoct.com              	219.134.185.92
mail3.chinaoct.com            	58.250.56.26
meeting.chinaoct.com          	219.134.185.83
web1.chinaoct.com             	172.16.9.100
web2.chinaoct.com             	172.16.9.100
smtp.chinaoct.com             	219.134.185.82
xa.chinaoct.com               	112.124.30.226
a3.chinaoct.com               	172.16.12.170
v5.chinaoct.com               	172.16.12.170
