www.cnooc.com.cn              	211.144.7.86
sms.cnooc.com.cn              	202.108.65.161
fa.cnooc.com.cn               	202.108.65.95
m.cnooc.com.cn                	202.108.65.53
d.cnooc.com.cn                	202.108.65.182
mail.cnooc.com.cn             	202.108.65.13
ee.cnooc.com.cn               	202.108.65.79
itp.cnooc.com.cn              	202.108.65.99
ftp.cnooc.com.cn              	202.108.65.239
mobile.cnooc.com.cn           	202.108.65.162
en.cnooc.com.cn               	211.91.165.175
test.cnooc.com.cn             	202.108.65.156
ns01.cnooc.com.cn             	202.108.65.1
vpn.cnooc.com.cn              	202.108.65.239
email.cnooc.com.cn            	202.108.65.105
mm.cnooc.com.cn               	202.108.65.41
sr.cnooc.com.cn               	202.108.65.122
buy.cnooc.com.cn              	202.108.65.152
sip.cnooc.com.cn              	202.108.65.106, 202.108.65.107
dialin.cnooc.com.cn           	202.108.65.104
job.cnooc.com.cn              	202.108.65.179
weixin.cnooc.com.cn           	202.108.65.97
meet.cnooc.com.cn             	202.108.65.104
hb.cnooc.com.cn               	202.108.65.123
sts.cnooc.com.cn              	202.108.65.166
cas.cnooc.com.cn              	202.108.65.38
report.cnooc.com.cn           	202.108.65.52
hy.cnooc.com.cn               	202.108.65.140
traveler.cnooc.com.cn         	202.108.65.164
ocs.cnooc.com.cn              	202.108.65.214
ipad.cnooc.com.cn             	202.108.65.182
ns02.cnooc.com.cn             	219.142.76.1
sale.cnooc.com.cn             	103.235.241.10
foundation.cnooc.com.cn       	202.108.65.188
cctv.cnooc.com.cn             	218.69.249.236
big5.cnooc.com.cn             	202.108.65.182
mbox.cnooc.com.cn             	202.108.65.163
zhaopin.cnooc.com.cn          	202.108.65.137
passport.sale.cnooc.com.cn    	103.235.241.10
