mail.crrcgc.cc                	211.147.25.234
www.crrcgc.cc                 	211.147.25.242
portal.crrcgc.cc              	10.163.2.44
doc.crrcgc.cc                 	10.163.2.42
news.crrcgc.cc                	10.163.2.55
gw.crrcgc.cc                  	172.25.1.98
hr.crrcgc.cc                  	10.163.1.104
health.crrcgc.cc              	10.163.2.88
wz.crrcgc.cc                  	10.163.1.15
sf.crrcgc.cc                  	10.209.0.39
arts.crrcgc.cc                	10.163.2.63
mobile.crrcgc.cc              	119.18.208.29
test.crrcgc.cc                	10.163.2.200
stat.crrcgc.cc                	10.163.2.88
dhcp.crrcgc.cc                	10.209.0.41
ec.crrcgc.cc                  	10.209.1.21
ldap.crrcgc.cc                	172.25.1.97
wf.crrcgc.cc                  	10.209.0.29
oa.crrcgc.cc                  	10.209.0.10
mdm.crrcgc.cc                 	10.209.0.29
rtx.crrcgc.cc                 	10.163.1.36
sync.crrcgc.cc                	10.163.2.88
kj.crrcgc.cc                  	10.209.0.21
eb.crrcgc.cc                  	211.147.25.237
