www.faw.com.cn                	222.168.65.41
forum.faw.com.cn              	218.62.24.166
search.faw.com.cn             	125.32.98.33
mail.faw.com.cn               	222.168.65.113
car.faw.com.cn                	202.98.11.6
dns.faw.com.cn                	202.98.11.10
mt.faw.com.cn                 	222.168.65.128
ftp.faw.com.cn                	218.62.24.147
mobile.faw.com.cn             	202.98.11.59
gq.faw.com.cn                 	202.98.11.222
pdm.faw.com.cn                	202.98.11.154
dz.faw.com.cn                 	202.98.11.82
ldap.faw.com.cn               	202.98.11.251
im.faw.com.cn                 	222.168.65.108
tw.faw.com.cn                 	202.98.11.82
docs.faw.com.cn               	202.98.11.15
pop3.faw.com.cn               	222.168.65.80
smtp.faw.com.cn               	222.168.65.225, 222.168.65.94
cas.faw.com.cn                	222.168.65.89
zz.faw.com.cn                 	218.62.24.159
market.faw.com.cn             	202.98.11.138
gps.faw.com.cn                	202.98.11.143
msg.faw.com.cn                	222.168.65.127
oracle.faw.com.cn             	202.98.11.135
sam.faw.com.cn                	222.168.65.110
zt.faw.com.cn                 	218.62.24.166
moa.faw.com.cn                	222.168.65.189
dag.faw.com.cn                	202.98.11.82
yj.faw.com.cn                 	222.168.65.76
peixun.faw.com.cn             	125.32.98.52
mbox.faw.com.cn               	202.98.11.10
jcc.faw.com.cn                	202.98.11.13
zhaopin.faw.com.cn            	125.32.98.51
qm.faw.com.cn                 	202.98.11.6
