www.sinosteel.com             	111.198.181.104
info.sinosteel.com            	111.198.181.42
plaza.sinosteel.com           	111.198.181.81
fa.sinosteel.com              	111.198.181.31
mail.sinosteel.com            	111.198.181.43
sa.sinosteel.com              	111.198.181.81
vietnam.sinosteel.com         	111.198.181.81
india.sinosteel.com           	111.198.181.81
futures.sinosteel.com         	121.41.228.120
tech.sinosteel.com            	111.198.181.95
germany.sinosteel.com         	111.198.181.81
vpn.sinosteel.com             	111.198.181.54
link.sinosteel.com            	111.198.181.85
ma.sinosteel.com              	111.198.181.103
ns3.sinosteel.com             	123.196.113.7
consult.sinosteel.com         	111.198.181.95
smtp.sinosteel.com            	111.198.181.83
imap.sinosteel.com            	36.110.67.193
bi.sinosteel.com              	111.198.181.80
ip.sinosteel.com              	111.198.181.80
mms.sinosteel.com             	111.198.181.86
smg.sinosteel.com             	101.36.67.18
webapp.sinosteel.com          	111.198.181.82
hongkong.sinosteel.com        	111.198.181.81
singapore.sinosteel.com       	111.198.181.81
australia.sinosteel.com       	111.198.181.81
turkey.sinosteel.com          	111.198.181.81
brasil.sinosteel.com          	111.198.181.81
tianjin.sinosteel.com         	111.198.181.81
capital.sinosteel.com         	111.198.181.51
shenyang.sinosteel.com        	111.198.181.81
shanghai.sinosteel.com        	211.152.42.28
